#		       ID        RA       DEC         l         b    S/N    z  
    2XMM-J141348.3+440014  213.4514   44.0039   83.8281   66.3534   27.8  0.089
      J102847.00+391800.4  157.1959   39.3001  181.3815   58.0332    9.6  0.472
           RXSJ00508+3536   12.7114   35.6119  122.7965  -27.2596   17.3  0.058
                  TON0133  192.7513   30.4283  124.5519   86.6986   10.0  0.652
        QSO-231145-141752  347.9394  -14.2978   56.8312  -63.4747    2.1      .
            QSO-B1215+303  184.4670   30.1168  188.8749   82.0529   25.2   0.13
           SDSSJ1137+6237  174.3405   62.6187  136.8057   52.4684    3.0  3.784
           SDSSJ1614+4859  243.6117   48.9997   76.4482   45.5241    2.2  3.799
                  RBS2005  351.4760   21.8872   97.9384  -36.7987   14.6   0.12
              HS2154+2228  329.1978   22.7137   78.4261  -24.6985    6.7   1.29
          RXSJ0155.6+3115   28.9001   31.2550  138.7027  -29.6442   11.8  0.135
               PG1211+143  183.5736   14.0537  267.5519   74.3150   21.5  0.080
   GALEX-J022614.4+001530   36.5603    0.2583  166.5701  -54.3763    9.6  0.615
                  4C25.01    4.9158   26.0479  114.0722  -36.2766   15.3  0.284
                   IO-AND   12.0791   39.6866  122.2786  -23.1812   36.2  0.134
              1ES1028+511  157.8271   50.8933  161.4385   54.4393   18.8  0.360
              1ES1553+113  238.9294   11.1901   21.9089   43.9642   34.9   0.36
                  MRK1148   12.9782   17.4329  123.0933  -45.4387   19.6  0.064
                  MRK1018   31.5666   -0.2914  159.8195  -57.7018    5.5  0.042
                 NEWQZ008   28.8750   -8.9512  165.7166  -66.3445    8.1  0.164
                 NEWQZ026    3.1000  -10.3740   92.3171  -70.8880    5.4  0.228
                  MRK1179   38.3430   27.9370  148.8953  -29.7454    6.9  0.037
                   MRK352   14.9721   31.8270  125.0262  -31.0104    7.0  0.014
               1H1613-097  243.8295   -9.6037    3.5308   28.4585    9.5  0.064
              1H-2129-624  324.0958  -62.4003  331.1426  -42.5230   35.6  0.058
      J084349.75+261910.7  130.9573   26.3197  198.5938   35.3020   19.3  0.256
         1SAXJ1032.3+5051  158.0671   50.8556  161.3704   54.5903    9.1  0.173
      J165931.92+373528.8  254.8830   37.5913   61.0173   37.5160    4.1  0.772
      J140505.77+470441.1  211.2741   47.0781   91.8664   65.3617   17.1  1.245
           2DFGRSS393Z082   41.2532  -30.1229  226.5560  -64.9622    7.3  0.339
      J132059.41+295728.1  200.2476   29.9578   58.2244   82.9219    3.3  0.206
                  MRK-335    1.5812   20.2028  108.7632  -41.4245   33.4  0.025
           2E-1058.1+1102  165.1994   10.7703  239.7397   59.2720    4.8  0.422
  2MASS-J09311671+2628474  142.8196   26.4799  201.8245   45.6390    6.7  0.780
  2MASS-J09512393+3542490  147.8497   35.7136  188.7571   50.9918    9.0  0.398
  2MASS-J09591486+3203573  149.8118   32.0659  194.7399   52.4898    6.2  0.564
  2MASS-J10131797+0500342  153.3249    5.0095  236.1957   46.3517    3.9  0.265
  2MASS-J10155924-2748289  153.9968  -27.8080  265.6586   23.5932    5.3    0.0
  2MASS-J10512569+1247462  162.8572   12.7962  234.0119   58.4940    7.3  1.282
  2MASS-J11321056+1335091  173.0440   13.5859  245.1840   67.0690    4.9  0.200
  2MASS-J13250381+2717189  201.2659   27.2885   36.0824   82.5234    4.3  0.585
  2MASS-J13482237+2456498  207.0930   24.9472   26.4409   77.0341    3.7  0.292
  2MASS-J14042827+3353426  211.1178   33.8952   60.6928   72.9093    5.0  0.549
  2MASS-J14294076+0321257  217.4198    3.3572  351.8377   56.5929    5.3  0.253
  2MASS-J14312586+2442203  217.8578   24.7057   32.4153   67.4229   17.2  0.406
  2MASS-J15412146+2817063  235.3395   28.2851   44.8564   52.5683    7.8  0.375
  2MASX-J01013113+4229356   15.3798   42.4932  124.9137  -20.3398    7.4   0.19
  2MASX-J10053271-2417161  151.3863  -24.2878  261.2302   24.8511    6.7  0.153
